행정구역명,통행량
부산광역시 기장군 기장읍,63212
부산광역시 부산진구 부전2동,47555
부산광역시 해운대구 우2동,46306
부산광역시 중구 남포동,24054
부산광역시 부산진구 부전1동,24022
부산광역시 남구 대연3동,17269
부산광역시 기장군 장안읍,16862
undefined,16822
부산광역시 기장군 정관읍,16743
부산광역시 동래구 명륜동,16038
부산광역시 동래구 온천1동,15583
undefined,15571
부산광역시 기장군 일광면,14351
부산광역시 사상구 괘법동,13678
부산광역시 해운대구 중1동,13353
부산광역시 해운대구 우1동,13099
부산광역시 부산진구 전포1동,12859
부산광역시 연제구 거제1동,12469
부산광역시 동구 범일2동,12280
부산광역시 중구 광복동,11645
부산광역시 수영구 민락동,11305
부산광역시 연제구 연산9동,11269
부산광역시 중구 중앙동,11253
부산광역시 기장군 철마면,11002
부산광역시 부산진구 범천1동,11001
부산광역시 강서구 녹산동,10841
부산광역시 수영구 남천1동,10493
부산광역시 수영구 광안2동,10389
부산광역시 연제구 거제2동,10124
부산광역시 사하구 하단2동,10095
부산광역시 사하구 다대1동,10084
부산광역시 부산진구 전포2동,9926
부산광역시 해운대구 송정동,9907
부산광역시 서구 암남동,9257
부산광역시 중구 부평동,9138
부산광역시 해운대구 좌4동,8954
부산광역시 부산진구 초읍동,8803
부산광역시 동래구 온천3동,8732
부산광역시 동래구 안락2동,8634
부산광역시 사상구 엄궁동,8521
부산광역시 강서구 대저2동,8509
부산광역시 부산진구 양정1동,8306
부산광역시 금정구 장전1동,7963
부산광역시 해운대구 우3동,7804
부산광역시 사상구 주례2동,7801
부산광역시 연제구 연산2동,7573
부산광역시 금정구 청룡노포동,7557
부산광역시 북구 금곡동,7396
부산광역시 해운대구 재송1동,7360
부산광역시 동래구 수민동,7348
부산광역시 수영구 망미1동,7260
부산광역시 해운대구 반여1동,7259
부산광역시 북구 덕천2동,7102
부산광역시 영도구 동삼1동,6936
부산광역시 금정구 남산동,6908
부산광역시 영도구 남항동,6564
부산광역시 사상구 모라1동,6392
부산광역시 연제구 연산5동,6368
부산광역시 사하구 하단1동,6365
undefined,6358
부산광역시 남구 대연1동,5962
부산광역시 북구 구포1동,5903
부산광역시 동구 초량3동,5887
부산광역시 부산진구 개금3동,5878
부산광역시 부산진구 부암1동,5854
부산광역시 부산진구 가야제1동,5788
부산광역시 사하구 당리동,5760
부산광역시 금정구 구서2동,5722
부산광역시 해운대구 좌2동,5675
부산광역시 남구 용호1동,5517
부산광역시 북구 화명3동,5514
부산광역시 연제구 연산4동,5472
부산광역시 중구 대청동,5467
부산광역시 금정구 부곡3동,5322
부산광역시 강서구 대저1동,5214
부산광역시 북구 구포2동,5198
부산광역시 해운대구 좌1동,5179
부산광역시 남구 문현2동,5029
부산광역시 연제구 연산1동,4889
부산광역시 부산진구 개금1동,4887
부산광역시 강서구 가덕도동,4770
부산광역시 금정구 부곡2동,4704
부산광역시 서구 동대신3동,4694
부산광역시 동구 초량2동,4664
부산광역시 해운대구 중2동,4550
부산광역시 수영구 수영동,4416
부산광역시 부산진구 양정2동,4353
부산광역시 수영구 망미2동,4284
부산광역시 연제구 연산6동,4133
부산광역시 동래구 안락1동,4111
부산광역시 연제구 거제3동,4097
부산광역시 서구 서대신1동,4049
부산광역시 동래구 사직3동,4017
부산광역시 동래구 사직1동,3991
부산광역시 부산진구 개금2동,3935
부산광역시 사상구 감전동,3880
부산광역시 해운대구 반송2동,3815
부산광역시 수영구 광안1동,3701
부산광역시 영도구 청학2동,3653
부산광역시 북구 화명1동,3599
부산광역시 부산진구 범천2동,3580
부산광역시 해운대구 반송1동,3539
부산광역시 수영구 광안3동,3521
부산광역시 서구 서대신4동,3402
부산광역시 영도구 동삼2동,3370
부산광역시 북구 만덕2동,3354
부산광역시 동래구 사직2동,3324
부산광역시 부산진구 당감제1동,3296
부산광역시 사상구 학장동,3296
부산광역시 북구 화명2동,3280
부산광역시 금정구 금성동,3278
부산광역시 사하구 장림2동,3238
부산광역시 사하구 감천1동,3225
부산광역시 중구 보수동,3206
부산광역시 동구 범일1동,3202
부산광역시 남구 우암동,3175
부산광역시 사상구 주례1동,3174
부산광역시 수영구 광안4동,3119
부산광역시 남구 감만1동,3101
부산광역시 사상구 삼락동,3092
부산광역시 사하구 괴정1동,3075
부산광역시 사하구 다대2동,3060
부산광역시 동래구 온천2동,2976
부산광역시 금정구 서3동,2935
부산광역시 남구 대연5동,2928
부산광역시 금정구 구서1동,2901
부산광역시 북구 구포3동,2813
부산광역시 해운대구 재송2동,2787
부산광역시 중구 영주2동,2736
부산광역시 강서구 가락동,2716
부산광역시 남구 문현3동,2704
부산광역시 남구 문현1동,2683
undefined,2644
부산광역시 동래구 명장1동,2642
부산광역시 사하구 괴정3동,2585
부산광역시 사상구 덕포2동,2572
부산광역시 동구 수정2동,2530
부산광역시 금정구 선두구동,2509
부산광역시 부산진구 연지동,2500
부산광역시 동구 초량1동,2500
부산광역시 부산진구 당감4동,2492
부산광역시 북구 덕천1동,2486
부산광역시 남구 대연6동,2437
부산광역시 서구 충무동,2437
부산광역시 부산진구 가야2동,2401
부산광역시 수영구 남천2동,2395
부산광역시 남구 문현4동,2381
부산광역시 동구 범일5동,2316
부산광역시 남구 용호2동,2260
부산광역시 서구 아미동,2220
부산광역시 연제구 연산3동,2207
부산광역시 사하구 괴정2동,2142
부산광역시 남구 용호3동,2132
부산광역시 서구 부민동,2083
부산광역시 금정구 서2동,2071
부산광역시 북구 만덕3동,2038
부산광역시 해운대구 반여2동,2009
부산광역시 사상구 모라3동,1996
부산광역시 동래구 명장2동,1979
부산광역시 중구 동광동,1938
부산광역시 북구 만덕1동,1906
부산광역시 남구 용당동,1889
부산광역시 해운대구 좌3동,1871
부산광역시 부산진구 부암3동,1857
부산광역시 강서구 강동동,1760
부산광역시 영도구 영선2동,1758
부산광역시 연제구 연산8동,1715
부산광역시 동래구 복산동,1712
부산광역시 금정구 부곡1동,1689
부산광역시 금정구 부곡4동,1646
부산광역시 동구 좌천동,1626
부산광역시 사하구 신평1동,1622
부산광역시 사하구 신평2동,1613
부산광역시 사하구 괴정4동,1608
부산광역시 동구 수정1동,1565
부산광역시 사하구 장림1동,1558
부산광역시 남구 용호4동,1555
부산광역시 사상구 주례3동,1525
부산광역시 남구 대연4동,1469
부산광역시 해운대구 반여4동,1451
부산광역시 영도구 동삼3동,1428
부산광역시 서구 남부민2동,1362
부산광역시 영도구 봉래1동,1341
부산광역시 사하구 구평동,1330
부산광역시 서구 초장동,1304
부산광역시 영도구 신선동,1296
부산광역시 부산진구 당감2동,1227
부산광역시 연제구 거제4동,1192
부산광역시 동구 수정5동,1140
부산광역시 서구 동대신1동,1119
부산광역시 서구 동대신2동,1110
부산광역시 사상구 덕포1동,1044
부산광역시 사하구 감천2동,962
부산광역시 영도구 청학1동,910
부산광역시 해운대구 반여3동,896
부산광역시 금정구 서1동,861
부산광역시 서구 남부민1동,823
부산광역시 북구 덕천3동,786
부산광역시 영도구 봉래2동,773
부산광역시 중구 영주1동,716
부산광역시 영도구 영선1동,714
부산광역시 남구 감만2동,579
부산광역시 동구 수정4동,575
부산광역시 서구 서대신3동,347
부산광역시 동구 초량6동,297
부산광역시 기장군 기장읍,602.019
부산광역시 부산진구 부전2동,452.905
부산광역시 해운대구 우2동,441.01
부산광역시 중구 남포동,229.086
부산광역시 부산진구 부전1동,228.781
부산광역시 남구 대연3동,164.467
부산광역시 기장군 장안읍,160.59
undefined,160.21
부산광역시 기장군 정관읍,159.457
부산광역시 동래구 명륜동,152.743
부산광역시 동래구 온천1동,148.41
undefined,148.295
부산광역시 기장군 일광면,136.676
부산광역시 사상구 괘법동,130.267
부산광역시 해운대구 중1동,127.171
부산광역시 해운대구 우1동,124.752
부산광역시 부산진구 전포1동,122.467
부산광역시 연제구 거제1동,118.752
부산광역시 동구 범일2동,116.952
부산광역시 중구 광복동,110.905
부산광역시 수영구 민락동,107.667
부산광역시 연제구 연산9동,107.324
부산광역시 중구 중앙동,107.171
부산광역시 기장군 철마면,104.781
부산광역시 부산진구 범천1동,104.771
부산광역시 강서구 녹산동,103.248
부산광역시 수영구 남천1동,99.933
부산광역시 수영구 광안2동,98.943
부산광역시 연제구 거제2동,96.419
부산광역시 사하구 하단2동,96.143
부산광역시 사하구 다대1동,96.038
부산광역시 부산진구 전포2동,94.533
부산광역시 해운대구 송정동,94.352
부산광역시 서구 암남동,88.162
부산광역시 중구 부평동,87.029
부산광역시 해운대구 좌4동,85.276
부산광역시 부산진구 초읍동,83.838
부산광역시 동래구 온천3동,83.162
부산광역시 동래구 안락2동,82.229
부산광역시 사상구 엄궁동,81.152
부산광역시 강서구 대저2동,81.038
부산광역시 부산진구 양정1동,79.105
부산광역시 금정구 장전1동,75.838
부산광역시 해운대구 우3동,74.324
부산광역시 사상구 주례2동,74.295
부산광역시 연제구 연산2동,72.124
부산광역시 금정구 청룡노포동,71.971
부산광역시 북구 금곡동,70.438
부산광역시 해운대구 재송1동,70.095
부산광역시 동래구 수민동,69.981
부산광역시 수영구 망미1동,69.143
부산광역시 해운대구 반여1동,69.133
부산광역시 북구 덕천2동,67.638
부산광역시 영도구 동삼1동,66.057
부산광역시 금정구 남산동,65.79
부산광역시 영도구 남항동,62.514
