행정구역명,통행량
서울특별시 마포구 서교동,84352
서울특별시 강남구 역삼1동,78122
서울특별시 영등포구 여의동,62858
서울특별시 종로구 종로1·2·3·4가동,59396
서울특별시 영등포구 영등포동,58450
서울특별시 서대문구 신촌동,55360
서울특별시 서초구 서초3동,42697
서울특별시 강남구 삼성1동,40998
서울특별시 서초구 반포4동,39470
서울특별시 강남구 신사동,38774
서울특별시 송파구 잠실6동,38483
서울특별시 서대문구 충현동,35686
서울특별시 송파구 잠실3동,33949
서울특별시 용산구 한강로동,33180
서울특별시 서초구 양재2동,31498
서울특별시 중구 회현동,31125
서울특별시 송파구 문정2동,29858
서울특별시 서초구 서초4동,28955
서울특별시 종로구 이화동,28648
서울특별시 중구 명동,28460
서울특별시 강남구 압구정동,27711
서울특별시 광진구 화양동,27020
서울특별시 서초구 양재1동,26257
서울특별시 강남구 청담동,26012
서울특별시 강남구 논현2동,25352
서울특별시 양천구 목1동,24971
서울특별시 용산구 한남동,23271
서울특별시 동대문구 용신동,22772
서울특별시 구로구 구로5동,22621
서울특별시 강남구 대치4동,21081
서울특별시 중구 소공동,20948
서울특별시 마포구 상암동,20624
서울특별시 동작구 신대방2동,20573
서울특별시 종로구 혜화동,20503
서울특별시 강남구 논현1동,20006
서울특별시 강남구 대치2동,19939
서울특별시 중구 광희동,19769
서울특별시 동대문구 제기동,19509
서울특별시 은평구 진관동,19506
서울특별시 노원구 상계6·7동,18752
서울특별시 도봉구 창4동,18717
서울특별시 강서구 화곡1동,18701
서울특별시 구로구 신도림동,18316
서울특별시 마포구 성산2동,17700
서울특별시 금천구 가산동,17590
서울특별시 노원구 상계2동,17553
서울특별시 구로구 구로3동,17268
서울특별시 강동구 천호2동,17169
서울특별시 서초구 서초2동,16160
서울특별시 강북구 송중동,16001
서울특별시 강서구 등촌3동,15818
서울특별시 동작구 노량진1동,15814
서울특별시 동작구 사당2동,15533
서울특별시 중랑구 상봉2동,15421
서울특별시 서대문구 연희동,14841
서울특별시 송파구 풍납2동,14768
서울특별시 종로구 사직동,14761
